customer_id,events.purchase.category_id,events.purchase.category,events.purchase.product_id,events.purchase.product,events.purchase.count,events.purchase.profit,events.purchase.purchase_price,events.purchase.selling_price
53039a0c25030f78d9d4dbfd,1017,Shoes,122941,AUTHORITY-Kala,1,5.98,7.01,12.99
53039a0c25030f78d9d4dc01,1017,Shoes,112049,ADIDAS-SE Daily Vulc,1,10.65,29.34,39.99
53039a0c25030f78d9d4dc05,1001,accessoryapparel AAC,108737,EXISPORT-F GLOVES UNI,1,,,
53039a0c25030f78d9d4dc05,1012,football ITG,113814,NIKE-TIEMPO NATURAL IV IC,1,6.84,28.15,34.99
53039a0c25030f78d9d4dc05,1014,skiingsnowboarding OSS,115245,AUTHORITY-GRETTE II,1,3.75,6.04,9.79
53039a0c25030f78d9d4dc05,1022,homefitness IFI,108174,KETTLER-GYM BALL 65 cm green,1,8.97,7.02,15.99
53039a0c25030f78d9d4dc05,1032,tennis ITG,134608,WILSON-BLX Tour Blackpack BKGD BAG,1,9.14,30.85,39.99
53039a0c25030f78d9d4dc05,990,floorball ITG,121539,MPS-Lopticka floorball 72mm BL,1,0.87,0.59,1.46
53039a0c25030f78d9d4dc05,990,floorball ITG,121539,MPS-Lopticka floorball 72mm BL,1,1.36,0.59,1.95
53039a0c25030f78d9d4dc05,992,skiing OSS,247703,AUTHORITY-FELON red,1,1.96,4.89,6.85
53039a0c25030f78d9d4dc05,992,skiing OSS,248153,AUTHORITY-FELICIA violet,1,8.36,4.37,12.73
53039a0c25030f78d9d4dc05,994,sportfashion SST,107231,AUTHORITY-BALLY S,1,3.38,3.61,6.99
53039a0c25030f78d9d4dc05,994,sportfashion SST,109011,AUTHORITY-HALINE,1,6.39,8.6,14.99
53039a0c25030f78d9d4dc05,994,sportfashion SST,113780,AUTHORITY-JOANE,1,-12.95,13.95,1
53039a0c25030f78d9d4dc05,994,sportfashion SST,122993,EXIray-Prescot 13,1,5.85,1.98,7.83
53039a0c25030f78d9d4dc05,994,sportfashion SST,133071,EXIray-Ponny WW,1,0.84,2.15,2.99
53039a0c25030f78d9d4dc05,994,sportfashion SST,133080,EXIray-Ponny MA,1,0.79,2.2,2.99
53039a0c25030f78d9d4dc05,994,sportfashion SST,248379,AUTHORITY-TERAMO green,1,10.89,5.76,16.65
53039a0c25030f78d9d4dc05,996,trekking OCO,109505,EXItrek-NELAR-R,1,4.32,10.07,14.39
53039a0c25030f78d9d4dc05,996,trekking OCO,110589,EXItrek-OLYMPIA,1,11.28,13.71,24.99
53039a0c25030f78d9d4dc05,996,trekking OCO,112545,LASTING-EXT,1,2.94,1.95,4.89
53039a0c25030f78d9d4dc05,996,trekking OCO,113272,EXItrek-NELAR-L,1,4.31,10.08,14.39
53039a0c25030f78d9d4dc05,996,trekking OCO,113989,GRISPORT-Foza,1,17.81,29.68,47.49
53039a0c25030f78d9d4dc05,996,trekking OCO,121911,AUTHORITY-PROtreky K blue,1,14.14,10.85,24.99
53039a0c25030f78d9d4dc05,996,trekking OCO,123243,NORTHFINDER-Hall 3139melangelila,1,24.03,15.96,39.99
53039a0c25030f78d9d4dc05,996,trekking OCO,247838,EXItrek-Regar,1,14.55,14.84,29.39
53039a0c25030f78d9d4dc05,996,trekking OCO,248223,EXItrek-Givion,1,15.64,13.75,29.39
